row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,11_QC.mzXML Peak height,15_2210.mzXML Peak height,16_11665.mzXML Peak height,20_QC.mzXML Peak height,22_13.mzXML Peak height,23_16.mzXML Peak height,24_08082204.mzXML Peak height,25_22.mzXML Peak height,26_QC.mzXML Peak height,30_08082205.mzXML Peak height,32_07082201.mzXML Peak height,33_51480.mzXML Peak height,36_QC.mzXML Peak height,38_21.mzXML Peak height,39_07082204.mzXML Peak height,41_20.mzXML Peak height,44_QC.mzXML Peak height,46_15.mzXML Peak height,47_51467.mzXML Peak height,48_51468.mzXML Peak height,50_QC.mzXML Peak height,
15,91.0237238129181,3.3226192,,,,,,,,,,,969.0,1174.0,1161.0,1301.0,927.0,1182.0,1263.0,871.0,796.0,783.0,1070.0,772.0,1028.0,1281.0,1298.0,1026.0,1210.0,1649.0,1457.0,1631.0,1403.0,
20,49.97298261429182,3.3249998,,,,,,,,,,,295.0,172.0,214.0,353.0,380.0,214.0,162.0,174.0,250.0,212.0,178.0,246.0,338.0,172.0,398.0,543.0,378.0,239.0,186.0,413.0,329.0,
23,76.03103713256912,3.3280957,,,,,,,,,,,212.0,247.0,294.0,234.0,258.0,268.0,130.0,177.0,215.0,180.0,159.0,271.0,242.0,284.0,252.0,159.0,233.0,180.0,148.0,270.0,236.0,
30,70.04775964667078,3.3316672,,,,,,,,,,,14694.0,13299.0,14922.0,33207.0,42893.0,21332.0,5215.0,12657.0,14577.0,5009.0,5431.0,26868.0,20141.0,17941.0,32059.0,7057.0,19093.0,9824.0,2178.0,34234.0,14973.0,
38,89.06510437787422,3.3326192,,,,,,,,,,,401.0,342.0,377.0,957.0,1273.0,613.0,194.0,398.0,406.0,215.0,209.0,826.0,514.0,577.0,965.0,215.0,474.0,342.0,150.0,1060.0,410.0,
33,58.02275603871691,3.3378568,,,,,,,,,,,1091.0,1118.0,1570.0,1302.0,1906.0,1345.0,340.0,942.0,976.0,663.0,500.0,1801.0,1146.0,1457.0,1202.0,927.0,1206.0,645.0,255.0,2003.0,1092.0,
51,86.00026470153742,3.3359997,,,,,,,,,,,850.0,499.0,649.0,1954.0,3772.0,778.0,626.0,470.0,816.0,399.0,390.0,1039.0,1079.0,265.0,4082.0,470.0,0,926.0,409.0,2444.0,856.0,
91,61.01103693943918,3.4332497,,,,,,,,,,,18081.0,10660.0,15313.0,27182.0,30537.0,14730.0,21358.0,8069.0,17689.0,34220.0,22489.0,38615.0,23170.0,12439.0,32934.0,14247.0,25855.0,16929.0,10681.0,0,23588.0,
97,69.04632624376237,3.4461904,,,,,,,,,,,3208.0,2989.0,4388.0,3663.0,3957.0,2594.0,691.0,2386.0,2915.0,2037.0,1390.0,4372.0,3559.0,2475.0,3457.0,3268.0,3664.0,1563.0,486.0,5433.0,3761.0,
94,55.044686066023026,3.4557142,,,,,,,,,,,6402.0,4177.0,24315.0,6008.0,2256.0,5480.0,5843.0,4764.0,5693.0,3957.0,6102.0,2453.0,5776.0,10346.0,5948.0,4328.0,6122.0,5791.0,4950.0,2649.0,5593.0,
113,57.036402409560274,3.4537501,,,,,,,,,,,5589.0,6833.0,13652.0,8236.0,11433.0,7242.0,2327.0,5297.0,5120.0,3140.0,3256.0,11785.0,6395.0,8708.0,7202.0,2654.0,6284.0,3385.0,1471.0,0,4913.0,
141,62.00045569335506,3.5080953,,,,,,,,,,,233.0,228.0,278.0,514.0,466.0,239.0,140.0,199.0,271.0,177.0,135.0,1324.0,295.0,273.0,412.0,910.0,305.0,167.0,113.0,462.0,380.0,
168,61.010645191786274,3.5190003,,,,,,,,,,,4774.0,5577.0,7111.0,12271.0,0,7378.0,2623.0,4455.0,5244.0,2198.0,1974.0,48620.0,6674.0,6641.0,13143.0,3620.0,6962.0,3343.0,965.0,12074.0,4457.0,
121,84.00740282183693,3.522619,,,,,,,,,,,2348.0,492.0,690.0,3030.0,3343.0,802.0,522.0,626.0,2017.0,1640.0,402.0,1374.0,2266.0,361.0,3341.0,24511.0,2297.0,903.0,580.0,2503.0,2057.0,
143,75.03100692345568,3.508334,,,,,,,,,,,669.0,799.0,980.0,1023.0,1244.0,905.0,327.0,635.0,648.0,454.0,380.0,2254.0,822.0,1007.0,1009.0,391.0,806.0,450.0,249.0,1103.0,661.0,
179,62.9999158426477,3.5559525,,,,,,,,,,,217.0,175.0,225.0,234.0,303.0,242.0,138.0,215.0,270.0,153.0,302.0,375.0,345.0,169.0,230.0,782.0,206.0,145.0,87.0,316.0,190.0,
207,94.0438679583777,3.5909522,,,,,,,,,,,218.0,204.0,230.0,223.0,207.0,209.0,140.0,150.0,209.0,273.0,255.0,190.0,239.0,121.0,268.0,212.0,226.0,182.0,132.0,353.0,242.0,
240,81.02895460183252,3.6366665,,,,,,,,,,,1934.0,188.0,190.0,1971.0,238.0,260.0,206.0,201.0,2052.0,33434.0,250.0,268.0,1881.0,228.0,246.0,273.0,2173.0,281.0,321.0,595.0,2105.0,
329,82.01938088297783,3.6635716,,,,,,,,,,,2654.0,162.0,199.0,3044.0,196.0,212.0,169.0,140.0,3021.0,53568.0,170.0,275.0,2914.0,188.0,210.0,196.0,3272.0,228.0,215.0,354.0,3079.0,
279,93.03114415941643,3.705714,,,,,,,,,,,215.0,177.0,177.0,158.0,225.0,204.0,228.0,172.0,156.0,198.0,196.0,241.0,185.0,262.0,230.0,164.0,319.0,276.0,238.0,599.0,297.0,
293,122.0783203021522,3.7083333,,,,,,,,,,,150.0,129.0,130.0,130.0,148.0,145.0,186.0,124.0,122.0,146.0,172.0,164.0,207.0,265.0,162.0,129.0,286.0,289.0,246.0,334.0,250.0,
308,117.07290688688471,3.730238,,,,,,,,,,,239.0,529.0,604.0,289.0,362.0,250.0,142.0,188.0,302.0,142.0,138.0,385.0,258.0,244.0,537.0,255.0,284.0,186.0,98.0,569.0,270.0,
362,74.03596134043508,3.7450001,,,,,,,,,,,1045.0,871.0,828.0,969.0,942.0,660.0,343.0,479.0,626.0,567.0,359.0,2142.0,672.0,686.0,681.0,1266.0,634.0,426.0,313.0,898.0,610.0,
387,70.04534103742363,3.8178573,,,,,,,,,,,2144.0,1512.0,4438.0,4145.0,4422.0,2289.0,648.0,1392.0,1880.0,754.0,738.0,2808.0,2594.0,4620.0,3305.0,2976.0,2459.0,1133.0,657.0,3651.0,2144.0,
