"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
2185/49.9998mz/9.58min,385.0,380.0,393.0,546.0,370.0,138.0,633.0,234.0,700.0,500.0,556.0,690.0,263.0,561.0,617.0,622.9929809570312,295.0,740.0,762.0,257.0,610.0,
14901/49.9999mz/42.75min,559.0,602.0,668.0,694.0,647.0,693.9956665039062,950.0,937.0,866.0,879.0,862.0,1009.0,722.0,860.0,913.0,1001.0,647.0,1066.0,1060.0,942.0,1006.0,985.0
10218/50.0000mz/31.25min,105.0,95.0,126.0,130.0,110.0,138.0,185.0,188.0,116.0,172.0,180.0,142.0,113.0,174.0,188.0,223.0,89.0,279.0,122.0,146.0,185.0,1993.971923828125
1236/50.0000mz/6.08min,1692.0,,1540.0,1774.0,1297.0,289.0,1890.0,676.0,1460.0,1214.0,1172.0,2775.0,745.0,1049.0,1398.0,1209.0,921.0,1073.0,2857.960205078125,209.0,1521.0,894.0
1573/50.0000mz/7.08min,374.0,118.0,311.0,121.0,255.0,90.0,137.0,198.0,,,142.0,406.0,164.0,268.0,396.0,430.0,231.0,471.0,649.99365234375,500.0,382.0,390.0
2143/50.0000mz/9.57min,385.0,,392.997314453125,546.0,370.0,138.0,633.0,234.0,700.0,500.0,,690.0,263.0,561.0,617.0,623.0,295.0,740.0,762.0,257.0,610.0,
2637/50.0000mz/10.77min,327.0,252.0,258.0,491.99456787109375,271.0,172.0,471.0,356.0,519.0,506.0,577.0,382.0,222.0,495.0,545.0,1114.0,140.0,6286.0,470.0,212.0,590.0,1655.0
3426/50.0000mz/14.34min,247.0,110.0,186.0,140.0,119.0,169.0,135.0,140.0,323.99853515625,292.0,263.0,335.0,116.0,271.0,290.0,319.0,177.0,1137.0,183.0,129.0,326.0,258.0
3867/50.0000mz/16.30min,156.0,103.0,126.0,135.0,134.0,86.0,122.0,142.0,130.0,570.0,585.0,202.0,113.0,532.0,579.99609375,599.0,119.0,,140.0,121.0,634.0,350.0
5316/50.0000mz/20.22min,169.0,78.0,122.0,345.0,111.0,94.0,119.0,121.0,102.0,,,206.0,110.0,,,,103.0,3102.959716796875,167.0,930.0,,337.0
